Product,Category,LeasableStatus,Category Predicted by Model
glock g43x subcompact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 19 gen5 fs semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock g43x mos optics ready semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Safety & Security
sig sauer p365 x macro compensated semi auto pistol with xray3 night sights,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,"TV, Audio / Video, Gaming & Wearables/Audio/Portable Players"
glock 19x semi auto pistol with coyote finish,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Other Home Decorations
ruger security 380 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Safety & Security
glock g19 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 43 subcompact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 19 gen5 mos fs semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
sig sauer p320 rxp x full size semi auto pistol with romeo1 pro optic,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,"TV, Audio / Video, Gaming & Wearables/Gaming/PS4"
Ruger LCP Semi Auto Pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
sig sauer p365 xl micro compact semi auto handgun with manual safety,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
sig sauer p320 rxp compact 2 tone semi auto pistol with romeo1 pro optic,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,"TV, Audio / Video, Gaming & Wearables/Wearable Technology/Smart Watches"
glock 26 gen5 9mm subcompact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
canik mete mc9 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
canik tp9sfx semi auto pistol with full accessory pack,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Fashion/Women/Bags
taurus g3c compact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock g45 compact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock g17 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 23 gen5 40 sw semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
ruger lcp max semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
sig sauer p320 m18 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
beretta apx a1 carry semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,Computers & Laptops/Computer Accessories/Gadgets
smith wesson mp shield ez semi auto pistol with thumb safety,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Other Home Decorations
springfield armory hellcat micro compact osp handgun with manual safety,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
sig sauer p365 optic ready semi auto pistol with x ray3 night sights and manual safety 101418895,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Other Home Decorations
springfield armory xd m elite tactical osp semi auto handgun in desert fde,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Housekeeping & Laundry
glock g17 gen5 full size semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
cz p 10 m micro sized semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Hardware
glock 43x mos semi auto pistol with shield ms3,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,"TV, Audio / Video, Gaming & Wearables/Wearable Technology/Smart Watches"
cz p 07 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,"TV, Audio / Video, Gaming & Wearables/TV Accessories/Wall Mounts & Protectors"
100024385 ruger lc9s semi auto pistol 100024385,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
savage arms 110 vsx hunter xp bolt action rifle with vortex diamondback scope combo,Centerfire | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Other Home Decorations/overwritten
traditions nitrofire vapr twist muzzleloader rifle with scope in mossy oak break up country,Centerfire | Bass Pro Shops,FALSE,Home & Living/Stationery/Novelty
tikka t3x lite d 18 bolt action rifle with vsx stock,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Shoes
ruger american rifle hunter bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
traditions nitrofire vapr twist cerakote muzzleloader rifle,Centerfire | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
benelli lupo bolt action rifle display model cosmetic damage,Centerfire | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Makeup Accessories
winchester xpr vortex bolt action rifle and scope combo,Centerfire | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
savage axis ii precision cerakote od green bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
browning ab3 composite stalker bolt action rifle with leupold vx freedom scope combo,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
savage arms axis ii xp truetimber vsx bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
ruger american rifle ranch bolt action rifle with threaded barrel,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Clothing
savage 110 magpul hunter bolt action rifle exclusive,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
bergara b 14 hmr bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
