Cat_name,Status
Bathroom Safety & Accessibility_Bathtub Rails,TRUE
Power Fastening Tool Parts & Accessories_Collated Fasteners_Powder Actuated Fasteners,FALSE
Range Parts & Accessories_Burners,FALSE
Nut & Bolt Assortment Sets,FALSE
Fire Safety_Fire Extinguisher Mounts & Brackets,TRUE
Router Parts & Accessories_Bearings & Bit-Repair Parts,FALSE
Cutters_Rebar Cutters & Benders,TRUE
Spades Shovels & Trowels_Trowels,TRUE
Punches_Hole Punches,TRUE
Grinders_Bench Grinders,TRUE
Furniture Sliders,TRUE
Protective Workwear_Safety Apparel_Aprons,FALSE
Collated Fasteners_Collated Nails_Brad Nails,FALSE
Refrigerator Parts & Accessories_Water Filters,FALSE
Rack Accessories,TRUE
Air Purifier Parts & Accessories,FALSE
Interior & Exterior House Paint,FALSE
Specialty Paint_Furniture Paint,FALSE
Permanent Magnet Motors,FALSE
Power Drill Parts & Accessories_Drill Bits_Masonry Drill Bits_Rotary Hammer Drill Bits,TRUE
Nuts_Tube Nuts_Union Nuts,FALSE
Chains_Register Chains,TRUE
Faucet Index Buttons,FALSE
Scaffolding & Accessories,FALSE
Power Water Pumps,FALSE
Doors_Garage Doors Openers & Parts_Hardware_Rollers,FALSE
Carports,TRUE
Combination Padlocks,TRUE
Concrete Tools_Demolition Drills & Hammers_Hammer Drills,TRUE
Oscillating Tools,TRUE
Screen Door Hardware,TRUE
Abrasive Wheels & Discs_Sanding Discs_Quick Change Discs,FALSE
Roofing_Flashing,FALSE
Soldering Stations,TRUE
Doors_Garage Doors Openers & Parts_Keypads & Remotes,FALSE
Juicer Parts & Accessories,FALSE
Pegs & Pins,TRUE
Workholding Devices_Collets,TRUE
End Mills_Ball Nose,TRUE
Rivets_Tubular Rivets,FALSE
Saw Blades Parts & Accessories_Blades_Planer Knives,FALSE
Temperature Probes & Sensors,TRUE
Weatherproofing_Window Insulation Kits,FALSE
Taps & Dies_Taps_Thread Milling Taps,TRUE
Millwork_Ceiling Medallions,FALSE
Roofing_Gutters & Accessories_Elbows,FALSE
Hammers_Welding Hammers,TRUE
Sound Measurement,TRUE
Mailbox Accessories & Hardware_Decorative Mailbox Accessories,TRUE
Doors_Garage Doors Openers & Parts_Hardware_Springs & Wires,FALSE
Toilet Paper Holders,TRUE
Laundry & Utility Sinks,TRUE
Punches_Knockout Punches,TRUE
Toilet Repair Kits,FALSE
Router Parts & Accessories_Router Bits_Edge Treatment & Grooving Bits,TRUE
Windows_Exterior Window Shutters_Panel Shutters,FALSE
Hand Edgers,TRUE
Neon Signs,TRUE
Locks & Latches,TRUE
Stair Parts_Balusters,FALSE
Keyed Padlocks,TRUE
Nails_Cap Nails,FALSE
Cabinets & Storage Systems,TRUE
Washers_Lock Washers_Spring Lock Washers,FALSE
Raw Building Materials_Bricks & Blocks,FALSE
Steam Cleaner & Steam Mop Parts & Accessories_Accessories,FALSE
Padlocks & Hasps_Combination Padlocks,TRUE
Edge & Corner Guards,FALSE
Accessories_Grounding Bars,FALSE
Winches Hoists & Pulleys_Winch Accessories_Cables,TRUE
Name Plaques,TRUE
Hand Planes & Accessories_Surforms,TRUE
Hands Free Flashlights & Headlamps_Hands Free Flashlights,TRUE
Cable Staples,TRUE
Fire Safety_Combination Gas & Carbon Monoxide Detectors,FALSE
Soldering Guns & Irons_Torches,TRUE
Taps & Dies_Taps_Thread Forming Taps,TRUE
Arbor Presses,TRUE
Wrenches_Torque Wrenches,TRUE
Krypton & Xenon Bulbs,FALSE
Modules,TRUE
Outlet Boxes,FALSE
Bike Racks & Stands,TRUE
Refrigerator Parts & Accessories_Handles,TRUE
Fuses_Fuse Accessories,FALSE
Taps & Dies_Taps_Spiral Point Taps,TRUE
Under-Cabinet Mounting Accessories,TRUE
Knives Parts & Accessories_Knives_Fixed-Blade Knives,TRUE
Nailers & Staplers_Nailers_Roofing Nailers,TRUE
Saws_Circular Saws,TRUE
Power Drill Parts & Accessories_Drill Bits_Auger Drill Bits,TRUE
Bathroom Safety & Accessibility_Toilet Seats & Commodes_Toilet Assistance Steps,TRUE
Weatherproofing_Garage Door Seals,FALSE
Bathroom Shelves,TRUE
Carpet & Upholstery Cleaner Parts & Accessories_Accessories,FALSE
Oscillating Tool Accessories_Sanding Pads,FALSE
Toilet Mounting Parts_Floor Bolts & Screw Sets,FALSE
Accessories_Ceiling Fan Blades,FALSE
Faucet Spray Hoses,FALSE
Closet Organization Systems,TRUE
Knives Parts & Accessories_Knives_Pocket Knives & Folding Knives,TRUE
Jacks & Accessories_Accessories,TRUE
Pliers_Plier Sets,TRUE
Vernier Calipers,TRUE
Dishwasher Parts & Accessories_Hoses,FALSE
Multi-Family & Cluster Box Mailboxes,TRUE
Threaded Rods & Studs_Single End Threaded Studs,FALSE
Nails_Finishing Nails,FALSE
Nippers & Snips,TRUE
Wood Filler,FALSE
Well Pumps,FALSE
Fuses_Fuse Links,FALSE
Track Lighting_Heads,TRUE
Nuts_Flange Nuts,FALSE
Hand & Arm Protection_Glove Liners,FALSE
Coffee & Espresso Machine Parts & Accessories_Coffee Machine Accessories_Coffee Pod Holders_Pod Baskets,TRUE
Anchors_Drywall Anchors,FALSE
Decking & Fencing_Railings & Pickets_Posts & Accessories_Caps,FALSE
Roofing_Roof Caps,FALSE
Abrasive Wheels & Discs_Cut-Off Wheels,FALSE
Figurine Lamps,TRUE
Catches,TRUE
Outlet & Switch Combos,FALSE
Humidifier Parts & Accessories_Humidity Meters,FALSE
Hammers_Drilling Hammers,TRUE
Chandeliers,TRUE
Hands Free Flashlights & Headlamps_Headlamps,TRUE
Lighting Accessories_Low-Voltage Transformers,FALSE
Devices,TRUE
Hacksaw Blades,FALSE
Nailers & Staplers_Nailers_Brad Nailers,TRUE
Hand & Arm Protection_Lab Safety & Work Gloves_Cut Resistant Gloves,TRUE
Robe & Towel Hooks,TRUE
End Mills_Corner Rounding,TRUE
Nailers & Staplers_Nailers_Flooring Nailers,TRUE
Hammers_Mallets,TRUE
Bathroom Sinks_Pedestal Sinks,FALSE
Winches Hoists & Pulleys_Winches,TRUE
Fuses_Plug Fuses,FALSE
Reamers_Bridge & Construction Reamers,TRUE
Winches Hoists & Pulleys_Pulleys_Flat Belt Pulleys,TRUE
Bathtub Faucets & Showerheads_Showerheads_Fixed Showerheads,FALSE
Bathtubs_Clawfoot Bathtubs,FALSE
Low Voltage Transformers,FALSE
Extension Cords,TRUE
Surveillance Video Equipment_Surveillance Cameras_Hidden Cameras,TRUE
Showers & Shower Parts_Shower Installation Kits,FALSE
Impact Wrenches,TRUE
Plugs,FALSE
Hand Planes & Accessories_Block Planes,TRUE
Safety Masks & Respirators_Safety Masks,FALSE
Power Finishing Tool Parts & Accessories_Power Sander Parts & Accessories_Replacement Parts,FALSE
Raw Building Materials_Construction Boards,FALSE
Wire Scratch Brushes,FALSE
Doors_Interior & Closet Doors_Slab Doors,FALSE
Handsaws,TRUE
Post-Mount Mailboxes,TRUE
Vanity Lights,FALSE
Screwdriver Accessories_Screwdriver Bit Sets,TRUE
Nuts_Slip Joint Nuts,FALSE
Beverage Refrigerator Replacement Parts,FALSE
Lighted Exit Signs,TRUE
Power Rotary Tool Parts & Accessories_Cutting Wheels,FALSE
Shutter Hardware_Shutter Hinges,TRUE
Punches_Pin Punches,TRUE
Power Finishing Tool Parts & Accessories_Power Sander Parts & Accessories_Sanding Sleeves,FALSE
Mailbox Accessories & Hardware_Mailbox Hardware,TRUE
Screens,TRUE
Doors_Garage Doors Openers & Parts_Opener Systems,FALSE
Wet-Dry Vacuums,TRUE
Trash Compactor Parts & Accessories,FALSE
